"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US37137","Pamlico County, North Carolina","12892","null","*****","*****","12537","null","81","null","355","null","81","null",
"0500000US37139","Pasquotank County, North Carolina","39909","null","*****","*****","38296","null","247","null","1613","null","247","null",
"0500000US37141","Pender County, North Carolina","56358","null","*****","*****","54155","null","247","null","2203","null","247","null",
"0500000US37143","Perquimans County, North Carolina","13470","null","*****","*****","13149","null","127","null","321","null","127","null",
"0500000US37145","Person County, North Carolina","39196","null","*****","*****","38227","null","224","null","969","null","224","null",
"0500000US37147","Pitt County, North Carolina","175150","null","*****","*****","166874","null","802","null","8276","null","802","null",
"0500000US37149","Polk County, North Carolina","20324","null","*****","*****","19641","null","149","null","683","null","149","null",
"0500000US37151","Randolph County, North Carolina","142588","null","*****","*****","133409","null","498","null","9179","null","498","null",
"0500000US37153","Richmond County, North Carolina","45710","null","*****","*****","44098","null","216","null","1612","null","216","null",
"0500000US37155","Robeson County, North Carolina","134576","null","*****","*****","128120","null","373","null","6456","null","373","null",
"0500000US37157","Rockingham County, North Carolina","91898","null","*****","*****","88815","null","378","null","3083","null","378","null",
"0500000US37159","Rowan County, North Carolina","138694","null","*****","*****","132359","null","403","null","6335","null","403","null",
"0500000US37161","Rutherford County, North Carolina","66701","null","*****","*****","64695","null","273","null","2006","null","273","null",
"0500000US37163","Sampson County, North Carolina","63713","null","*****","*****","57513","null","352","null","6200","null","352","null",
"0500000US37165","Scotland County, North Carolina","35711","null","*****","*****","34930","null","132","null","781","null","132","null",
"0500000US37167","Stanly County, North Carolina","60610","null","*****","*****","58769","null","209","null","1841","null","209","null",
"0500000US37169","Stokes County, North Carolina","46453","null","*****","*****","45684","null","194","null","769","null","194","null",
"0500000US37171","Surry County, North Carolina","72767","null","*****","*****","68924","null","296","null","3843","null","296","null",
"0500000US37173","Swain County, North Carolina","14234","null","*****","*****","13993","null","122","null","241","null","122","null",
"0500000US37175","Transylvania County, North Carolina","33062","null","*****","*****","31726","null","285","null","1336","null","285","null",
"0500000US37177","Tyrrell County, North Carolina","4128","null","*****","*****","3886","null","111","null","242","null","111","null",
"0500000US37179","Union County, North Carolina","217614","null","*****","*****","197860","null","962","null","19754","null","962","null",
"0500000US37181","Vance County, North Carolina","44508","null","*****","*****","42744","null","199","null","1764","null","199","null",
"0500000US37183","Wake County, North Carolina","998576","null","*****","*****","868649","null","2328","null","129927","null","2328","null",
"0500000US37185","Warren County, North Carolina","20324","null","*****","*****","19661","null","157","null","663","null","157","null",
"0500000US37187","Washington County, North Carolina","12503","null","*****","*****","12205","null","135","null","298","null","135","null",
"0500000US37189","Watauga County, North Carolina","52745","null","*****","*****","51207","null","205","null","1538","null","205","null",
"0500000US37191","Wayne County, North Carolina","124447","null","*****","*****","115148","null","692","null","9299","null","692","null",
"0500000US37193","Wilkes County, North Carolina","68888","null","*****","*****","66040","null","321","null","2848","null","321","null",
"0500000US37195","Wilson County, North Carolina","81617","null","*****","*****","76099","null","526","null","5518","null","526","null",
