"GEO_ID","NAME","B05012_001E","B05012_001EA","B05012_001M","B05012_001MA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003M","B05012_003MA","B05012_003EA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born",
"0500000US47177","Warren County, Tennessee","40454","null","*****","*****","38261","233","null","null","2193","233","null","null",
"0500000US47179","Washington County, Tennessee","127055","null","*****","*****","121935","528","null","null","5120","528","null","null",
"0500000US47181","Wayne County, Tennessee","16649","null","*****","*****","16511","71","null","null","138","71","null","null",
"0500000US47183","Weakley County, Tennessee","33626","null","*****","*****","33053","167","null","null","573","167","null","null",
"0500000US47185","White County, Tennessee","26580","null","*****","*****","26226","150","null","null","354","150","null","null",
"0500000US47187","Williamson County, Tennessee","218648","null","*****","*****","202177","976","null","null","16471","976","null","null",
"0500000US47189","Wilson County, Tennessee","132663","null","*****","*****","126290","718","null","null","6373","718","null","null",
"0500000US48001","Anderson County, Texas","57863","null","*****","*****","54247","501","null","null","3616","501","null","null",
"0500000US48003","Andrews County, Texas","17818","null","*****","*****","15227","457","null","null","2591","457","null","null",
"0500000US48005","Angelina County, Texas","87607","null","*****","*****","80194","578","null","null","7413","578","null","null",
"0500000US48007","Aransas County, Texas","24763","null","*****","*****","22991","526","null","null","1772","526","null","null",
"0500000US48009","Archer County, Texas","8789","null","*****","*****","8561","70","null","null","228","70","null","null",
"0500000US48011","Armstrong County, Texas","1916","null","125","null","1877","121","null","null","39","28","null","null",
"0500000US48013","Atascosa County, Texas","48828","null","*****","*****","45780","696","null","null","3048","696","null","null",
"0500000US48015","Austin County, Texas","29565","null","*****","*****","26362","423","null","null","3203","423","null","null",
