"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002M","B05012_002MA","B05012_002EA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Annotation of Estimate!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US08037","Eagle County, Colorado","51850","*****","*****","null","41602","693","null","null","10248","null","693","null",
"0500000US08039","Elbert County, Colorado","23058","*****","*****","null","22287","199","null","null","771","null","199","null",
"0500000US08041","El Paso County, Colorado","622816","*****","*****","null","578196","1818","null","null","44620","null","1818","null",
"0500000US08043","Fremont County, Colorado","47006","*****","*****","null","44916","298","null","null","2090","null","298","null",
"0500000US08045","Garfield County, Colorado","56330","*****","*****","null","47628","695","null","null","8702","null","695","null",
"0500000US08047","Gilpin County, Colorado","5358","*****","*****","null","5233","97","null","null","125","null","97","null",
"0500000US08049","Grand County, Colorado","14608","*****","*****","null","14005","215","null","null","603","null","215","null",
"0500000US08051","Gunnison County, Colorado","15385","*****","*****","null","14713","191","null","null","672","null","191","null",
"0500000US08053","Hinsdale County, Colorado","790","130","null","null","779","130","null","null","11","null","14","null",
"0500000US08055","Huerfano County, Colorado","6730","*****","*****","null","6409","127","null","null","321","null","127","null",
"0500000US08057","Jackson County, Colorado","1397","130","null","null","1374","125","null","null","23","null","26","null",
"0500000US08059","Jefferson County, Colorado","536095","*****","*****","null","502959","1653","null","null","33136","null","1653","null",
"0500000US08061","Kiowa County, Colorado","1393","130","null","null","1349","130","null","null","44","null","37","null",
"0500000US08063","Kit Carson County, Colorado","8210","*****","*****","null","7462","161","null","null","748","null","161","null",
"0500000US08065","Lake County, Colorado","7372","*****","*****","null","6166","325","null","null","1206","null","325","null",
"0500000US08067","La Plata County, Colorado","51443","*****","*****","null","49915","298","null","null","1528","null","298","null",
"0500000US08069","Larimer County, Colorado","300870","*****","*****","null","284918","1122","null","null","15952","null","1122","null",
"0500000US08071","Las Animas County, Colorado","15385","*****","*****","null","14875","153","null","null","510","null","153","null",
"0500000US08073","Lincoln County, Colorado","5443","*****","*****","null","5140","98","null","null","303","null","98","null",
"0500000US08075","Logan County, Colorado","22541","*****","*****","null","21106","449","null","null","1435","null","449","null",
"0500000US08077","Mesa County, Colorado","146562","*****","*****","null","140210","619","null","null","6352","null","619","null",
"0500000US08079","Mineral County, Colorado","702","109","null","null","688","107","null","null","14","null","17","null",
"0500000US08081","Moffat County, Colorado","13547","*****","*****","null","12690","166","null","null","857","null","166","null",
"0500000US08083","Montezuma County, Colorado","25424","*****","*****","null","24892","146","null","null","532","null","146","null",
"0500000US08085","Montrose County, Colorado","40994","*****","*****","null","37990","418","null","null","3004","null","418","null",
"0500000US08087","Morgan County, Colorado","28200","*****","*****","null","24398","464","null","null","3802","null","464","null",
"0500000US08089","Otero County, Colorado","18791","*****","*****","null","18085","199","null","null","706","null","199","null",
"0500000US08091","Ouray County, Colorado","4445","*****","*****","null","4325","49","null","null","120","null","49","null",
