"GEO_ID","NAME","B05012_001E","B05012_001M","B05012_001MA","B05012_001EA","B05012_002E","B05012_002EA","B05012_002M","B05012_002MA","B05012_003E","B05012_003EA","B05012_003M","B05012_003MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!Native","Annotation of Estimate!!Total!!Native","Margin of Error!!Total!!Native","Annotation of Margin of Error!!Total!!Native","Estimate!!Total!!Foreign-Born","Annotation of Estimate!!Total!!Foreign-Born","Margin of Error!!Total!!Foreign-Born","Annotation of Margin of Error!!Total!!Foreign-Born",
"0500000US17135","Montgomery County, Illinois","30126","*****","*****","null","29771","null","87","null","355","null","87","null",
"0500000US17137","Morgan County, Illinois","35673","*****","*****","null","35172","null","135","null","501","null","135","null",
"0500000US17139","Moultrie County, Illinois","14773","*****","*****","null","14529","null","138","null","244","null","138","null",
"0500000US17141","Ogle County, Illinois","53525","*****","*****","null","50850","null","340","null","2675","null","340","null",
"0500000US17143","Peoria County, Illinois","185780","*****","*****","null","177383","null","509","null","8397","null","509","null",
"0500000US17145","Perry County, Illinois","22403","*****","*****","null","22123","null","94","null","280","null","94","null",
"0500000US17147","Piatt County, Illinois","16710","*****","*****","null","16533","null","82","null","177","null","82","null",
"0500000US17149","Pike County, Illinois","16536","*****","*****","null","16435","null","44","null","101","null","44","null",
"0500000US17151","Pope County, Illinois","4418","*****","*****","null","4281","null","76","null","137","null","76","null",
"0500000US17153","Pulaski County, Illinois","6184","*****","*****","null","6050","null","114","null","134","null","114","null",
"0500000US17155","Putnam County, Illinois","5989","*****","*****","null","5872","null","66","null","117","null","66","null",
"0500000US17157","Randolph County, Illinois","33503","*****","*****","null","32930","null","119","null","573","null","119","null",
"0500000US17159","Richland County, Illinois","16180","*****","*****","null","15813","null","97","null","367","null","97","null",
"0500000US17161","Rock Island County, Illinois","147625","*****","*****","null","137457","null","757","null","10168","null","757","null",
"0500000US17163","St. Clair County, Illinois","268086","*****","*****","null","260660","null","701","null","7426","null","701","null",
"0500000US17165","Saline County, Illinois","25071","*****","*****","null","24803","null","105","null","268","null","105","null",
"0500000US17167","Sangamon County, Illinois","196393","*****","*****","null","190038","null","549","null","6355","null","549","null",
"0500000US17169","Schuyler County, Illinois","7519","*****","*****","null","7284","null","116","null","235","null","116","null",
"0500000US17171","Scott County, Illinois","5351","*****","*****","null","5305","null","41","null","46","null","41","null",
"0500000US17173","Shelby County, Illinois","22330","*****","*****","null","22139","null","80","null","191","null","80","null",
"0500000US17175","Stark County, Illinois","5980","*****","*****","null","5908","null","50","null","72","null","50","null",
"0500000US17177","Stephenson County, Illinois","47730","*****","*****","null","46524","null","276","null","1206","null","276","null",
"0500000US17179","Tazewell County, Illinois","134636","*****","*****","null","132724","null","270","null","1912","null","270","null",
"0500000US17181","Union County, Illinois","17883","*****","*****","null","17303","null","146","null","580","null","146","null",
